"","x"
"1",18.1729583968097
"2",17.1218710543146
"3",15.9732575825013
"4",14.4834694199579
"5",11.4169043337697
"6",14.745843420562
"7",17.343837028499
"8",16.1796322575326
"9",19.7662432677829
"10",19.6909387993997
"11",20.2737221762634
"12",17.8459604590564
"13",16.2198761791876
"14",19.3529882798319
"15",22.5144077761144
"16",22.481207033581
"17",25.8435108902007
"18",24.4062946989412
"19",23.2987411248253
"20",20.560468680784
"21",18.5579692132166
"22",20.9005752289925
"23",23.9905624898466
"24",23.0697396725854
"25",24.8016085202207
"26",22.4192576083003
"27",22.3586865284508
"28",19.5197348053836
"29",16.1905963000836
"30",17.7418054228105
"31",22.1732623219247
"32",21.7689095911926
"33",23.2245731852844
"34",21.2064677558146
"35",21.8727692666999
"36",16.8799034661603
"37",14.2316174548354
"38",16.8613438761987
"39",23.6756124650732
"40",23.8063457467318
"41",25.9080990355695
"42",24.1461417752614
"43",25.7175544404899
"44",21.4665263624601
"45",19.4956650333312
"46",21.845160942388
"47",29.5998938365312
"48",30.1666041722877
"49",33.3920243682043
"50",32.2907983709521
"51",32.3064710646021
"52",28.3697700580352
"53",26.0310428546325
"54",28.4710977453057
"55",38.3776880421848
"56",38.390710585357
"57",41.4838922032183
"58",41.1282571855737
"59",40.9923224543199
"60",36.2002234127643
"61",34.2760658790451
"62",37.0779479108422
"63",45.6339732243361
"64",44.6881727024882
"65",48.5916166886729
"66",48.5643025857275
"67",48.5568970096316
"68",45.4950933151654
"69",43.8896261553602
"70",46.7526318783274
"71",56.4875072197861
"72",56.2036094735612
"73",60.295786798816
"74",61.5764175450714
"75",62.1831871574665
"76",59.9457766288235
"77",58.0652668828915
"78",61.9888646785935
"79",70.3848362029325
"80",70.3847115781969
"81",72.6525697859241
"82",76.458251219627
"83",76.5239194381061
"84",75.4044409801991
"85",76.488780156727
"86",80.0184410567421
"87",89.0454745869993
"88",90.3125888182638
"89",91.6613818224845
"90",96.5898786499025
"91",96.8641871950274
"92",94.6998149992137
"93",94.8446954055248
"94",100.251194445197
"95",109.809395675674
"96",111.424189762975
"97",111.279873451964
"98",115.6753944091
"99",118.606861477846
"100",117.106984230923
